"Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Amount spent (USD)","CPM (cost per 1,000 impressions) (USD)",Frequency,Reach,Impressions,"Clicks (all)","Cost per outbound click (USD)","Outbound CTR (click-through rate)","Outbound clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Link clicks","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","Reporting starts","Reporting ends","Ad set budget","Ad set budget type","Campaign ID","Ad set ID","Campaign name","Results (initial)","Results (initial) indicator"
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240956496910284,120240956497060284,Soulmate-v2-сbo-static-date_of_birth-4,,
Soulmate-v2-abo-static-blur-1,not_delivering,7,actions:offsite_conversion.fb_pixel_purchase,33.05857143,231.41,73.300602,1.145917,2755,3157,98,2.629659,2.787456,88,2.629659,2.787456,88,3.104213,2.361327,84,2.754881,2026-04-30,2026-04-30,"Using campaign budget",0,120241113584680284,120241113584710284,Soulmate-v2-abo-static-blur-1,,
"Soulmate-v2-abo-static-date_of_birth-1 – 2",not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,21.14666667,63.44,35.421552,1.042491,1718,1791,70,0.99125,3.573423,64,0.99125,3.573423,64,3.908431,0.906286,62,1.023226,2026-04-30,2026-04-30,"Using campaign budget",0,120240841338740284,120240841344490284,Soulmate-v2-сbo-static-date_of_birth-3,,
Starseed_ES_cbo_static_9x16_ES+LatAm-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241042515200284,120241042515210284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,44.6175,178.47,48.962963,1.056522,3450,3645,184,1.07512,4.554184,166,1.07512,4.554184,166,5.048011,0.969946,164,1.088232,2026-04-30,2026-04-30,"Using campaign budget",0,120240841338740284,120240841338780284,Soulmate-v2-сbo-static-date_of_birth-3,,
Starseed_ES_cbo_static_9x16_US-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241042103500284,120241042103490284,Starseed_ES_cbo_static_9x16_US-1,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240639307440284,120240639307400284,Soulmate-v2-сbo-static-date_of_birth-2,,
Starseed_ES_cbo_static_9x16_ww-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241041219770284,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240588892110284,120240588892160284,Soulmate-v2-сbo-static-date_of_birth-1,,
"Soulmate-v2-abo-static-date_of_birth-1 – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240956496950284,120240956497100284,Soulmate-v2-сbo-static-date_of_birth-5,,
Soulmate-abo-static-date_of_birth-11,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240359756640284,120240359756600284,Soulmate-сbo-static-date_of_birth-11,,
"Soulmate-v2-abo-static-date_of_birth-1 – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240956496910284,120240956497090284,Soulmate-v2-сbo-static-date_of_birth-4,,
Soulmate-abo-static-date_of_birth-10,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240359668910284,120240359668980284,Soulmate-сbo-static-date_of_birth-10,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240956496950284,120240956497080284,Soulmate-v2-сbo-static-date_of_birth-5,,
Soulmate-abo-static-date_of_birth-9,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240353549380284,120240353549370284,Soulmate-сbo-static-date_of_birth-9,,
"Post: ""Your ex could come back sooner than you think… 😳💔""",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,2,Daily,120239990229510284,120239990230080284,"Post: ""Your ex could come back sooner than you think… 😳💔""",,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240170192160284,120240170192200284,Soulmate-сbo-static-date_of_birth(1)-8,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239452835860284,120239452835910284,Soulmate-сbo-static-date_of_birth(1)-4,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239989810150284,120239989810140284,"Soulmate-сbo-static-date_of_birth(1)-5 – Copy",,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,50,Daily,120238347016050284,120238347016070284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239968509520284,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,70,Daily,120238347016050284,120238347016040284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239530590420284,120239530590440284,"Soulmate-сbo-static-date_of_birth(1)-8 – ww",,
"Soulmate-abo-static-date_of_birth-1 – Copy",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,60,Daily,120238347016050284,120238347016030284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239465472520284,120239465472570284,Soulmate-сbo-static-date_of_birth(1)-7,,
Soulmate-abo-static-date_of_birth-1,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,50,Daily,120238347016050284,120238347015990284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239464684270284,120239464684300284,Soulmate-сbo-static-date_of_birth(1)-6,,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,50,Daily,120238347016050284,120238347015970284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239462815870284,120239462815850284,Soulmate-сbo-static-date_of_birth(1)-5,,
Soulmate-abo-static-date_of_birth-4,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,50,Daily,120238346020350284,120238346938850284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-video-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239305542660284,120239305542620284,Soulmate-сbo-video-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-3,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,60,Daily,120238346020350284,120238346938830284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239286855920284,120239286855940284,Soulmate-сbo-static-date_of_birth(1)-3,,
Soulmate-abo-static-date_of_birth-2,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,50,Daily,120238346020350284,120238346938820284,Soulmate-abo-static-date_of_birth-1,,
