"Ad name","Ad delivery",Results,"Result indicator","Cost per results","Amount spent (USD)","CPM (cost per 1,000 impressions) (USD)",Frequency,Reach,Impressions,"Clicks (all)","Cost per outbound click (USD)","Outbound CTR (click-through rate)","Outbound clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Link clicks","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","Reporting starts","Reporting ends","Ad set budget","Ad set budget type","Campaign ID","Ad ID","Ad set name","Ad set ID","Campaign name","Results (initial)","Results (initial) indicator"
"soulmate-static-birth-9x16 (1) – 3",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239462815870284,120239462815840284,Soulmate-abo-static-date_of_birth-1,120239462815850284,Soulmate-сbo-static-date_of_birth(1)-5,,
"soulmate-static-birth-9x16 mix - 4",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240359668910284,120240359668960284,Soulmate-abo-static-date_of_birth-10,120240359668980284,Soulmate-сbo-static-date_of_birth-10,,
"soulmate-static-birth-9x16 (13)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240956496910284,120240956496960284,Soulmate-v2-abo-static-date_of_birth-1,120240956497060284,Soulmate-v2-сbo-static-date_of_birth-4,,
"soulmate_blur_static_9x16 (2)",inactive,1,actions:offsite_conversion.fb_pixel_purchase,47.53,47.53,80.971039,1.035273,567,587,25,2.066522,3.918228,23,2.066522,3.918228,23,4.258944,1.9012,21,2.263333,2026-04-30,2026-04-30,"Using campaign budget",0,120241113584680284,120241113732030284,Soulmate-v2-abo-static-blur-1,120241113584710284,Soulmate-v2-abo-static-blur-1,,
"Starseed_ES_static_9x16 (10)-latam",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241042515200284,120241042515240284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,120241042515210284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,,
"soulmate_blur_static_9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241113584680284,120241113584730284,Soulmate-v2-abo-static-blur-1,120241113584710284,Soulmate-v2-abo-static-blur-1,,
"soulmate-static-birth-9x16 (1) - 1",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239462815870284,120239462815830284,Soulmate-abo-static-date_of_birth-1,120239462815850284,Soulmate-сbo-static-date_of_birth(1)-5,,
"soulmate-static-birth-9x16 mix - 3",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240359668910284,120240359668950284,Soulmate-abo-static-date_of_birth-10,120240359668980284,Soulmate-сbo-static-date_of_birth-10,,
"soulmate-static-birth-9x16 (4)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240956496910284,120240956496930284,Soulmate-v2-abo-static-date_of_birth-1,120240956497060284,Soulmate-v2-сbo-static-date_of_birth-4,,
"soulmate_blur_static_9x16 (5)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241113584680284,120241113584770284,Soulmate-v2-abo-static-blur-1,120241113584710284,Soulmate-v2-abo-static-blur-1,,
"Starseed_ES_static_9x16 (8)-us",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241042103500284,120241042103510284,Starseed_ES_cbo_static_9x16_US-1,120241042103490284,Starseed_ES_cbo_static_9x16_US-1,,
